Country Name,Country Code,Land Area
Angola,AGO,1246700.0
Burundi,BDI,27830.0
Benin,BEN,114760.0
Burkina Faso,BFA,274220.0
Botswana,BWA,581730.0
Central African Republic,CAF,622980.0
Cote d'Ivoire,CIV,322460.0
Cameroon,CMR,475440.0
Democratic Republic of Congo,COD,2344860.0
Republic of Congo,COG,342000.0
Comoros,COM,1861.0
Cabo Verde,CPV,4030.0
Eritrea,ERI,121630.327
Ethiopia,ETH,1136239.544
Gabon,GAB,267670.0
Ghana,GHA,238530.0
Guinea,GIN,245860.0
Gambia,GMB,11300.0
Guinea-Bissau,GNB,36130.0
Equatorial Guinea,GNQ,28050.0
Kenya,KEN,580370.0
Liberia,LBR,111370.0
Lesotho,LSO,30360.0
Madagascar,MDG,587295.0
Mali,MLI,1240190.0
Mozambique,MOZ,799380.0
Mauritania,MRT,1030700.0
Mauritius,MUS,2040.0
Malawi,MWI,118480.0
Namibia,NAM,824290.0
Niger,NER,1267000.0
Nigeria,NGA,923770.0
Rwanda,RWA,26340.0
Sudan,SDN,1878000.0
Senegal,SEN,196710.0
Sierra Leone,SLE,72300.0
Somalia,SOM,637660.0
South Sudan,SSD,646883.0
Sao Tome and Principe,STP,960.0
Eswatini,SWZ,17360.0
Seychelles,SYC,460.0
Chad,TCD,1284000.0
Togo,TGO,56790.0
Tanzania,TZA,947300.0
Uganda,UGA,241550.0
South Africa,ZAF,1219090.0
Zambia,ZMB,752610.0
Zimbabwe,ZWE,390760.0
